"Postcode","Include","Confirmed","Population","Cases.per.100K","Employed.transport","Employed.Persons","Employed.transport.Percent"
"3802","Yes",57,24298,234.59,592,10991,5.386
"3803","Yes",57,10855,525.1,316,4496,7.028
"3804","Yes",8,8094,98.84,181,4125,4.388
"3805","Yes",119,56933,209.02,1507,27030,5.575
"3806","Yes",50,48520,103.05,899,23535,3.82
"3807","Yes",10,7097,140.9,150,3802,3.945
"3808","Yes",2,3033,65.94,50,1565,3.195
"3809","Yes",32,7210,443.83,167,3959,4.218
"3810","Yes",49,47894,102.31,1245,21530,5.783
"3910","Yes",24,22588,106.25,421,12025,3.501
"3911","Yes",2,3414,58.58,67,1756,3.815
"3912","Yes",11,15157,72.57,281,7748,3.627
"3913","Yes",1,3338,29.96,65,1759,3.695
"3915","Yes",2,9960,20.08,152,3809,3.991
"3916","No",0,955,0,3,388,0.773
"3918","Yes",2,3705,53.98,46,1803,2.551
"3919","Yes",2,3183,62.83,39,1435,2.718
"3920","No",2,1040,192.31,0,907,0
"3926","Yes",0,3242,0,42,1496,2.807
"3927","Yes",4,1667,239.95,22,719,3.06
"3928","No",1,416,240.38,4,198,2.02
"3929","No",7,905,773.48,14,384,3.646
"3930","Yes",9,17888,50.31,157,8290,1.894
"3931","Yes",14,23989,58.36,282,10171,2.773
"3933","No",2,1098,182.15,13,591,2.2
"3934","Yes",13,18548,70.09,197,8583,2.295
"3936","Yes",4,11024,36.28,132,4666,2.829
"3937","Yes",0,1524,0,15,714,2.101
"3938","Yes",0,2823,0,27,1171,2.306
"3939","Yes",5,14524,34.43,150,5609,2.674
"3940","Yes",3,4930,60.85,47,1384,3.396
"3941","Yes",4,12172,32.86,144,4912,2.932
"3942","Yes",4,2313,172.94,23,854,2.693
"3943","Yes",7,1592,439.7,12,535,2.243
"3944","No",5,510,980.39,7,177,3.955
"3975","Yes",30,15248,196.75,459,7165,6.406
"3976","Yes",59,25530,231.1,748,10605,7.053
"3977","Yes",133,93326,142.51,2595,43718,5.936
