"Postcode","Include","Confirmed","Population","Cases.per.100K","Median.age","Median.household.income"
"3787","No",0,1062,0,43,2005
"3788","Yes",0,1738,0,44,1518
"3789","No",0,265,0,48,1547
"3791","No",1,1437,69.59,44,1734
"3792","No",0,1065,0,44,1583
"3793","Yes",1,3577,27.96,42,1377
"3795","No",0,1246,0,42,1698
"3796","Yes",3,9702,30.92,37,1655
"3802","Yes",57,24298,234.59,37,1454
"3803","Yes",57,10855,525.1,35,1301
"3804","Yes",8,8094,98.84,41,2165
"3805","Yes",119,56933,209.02,34,1624
"3806","Yes",50,48520,103.05,36,1752
"3807","Yes",10,7097,140.9,39,1928
"3808","Yes",2,3033,65.94,41,2144
"3809","Yes",32,7210,443.83,30,1864
"3810","Yes",49,47894,102.31,32,1383
"3910","Yes",24,22588,106.25,37,1579
"3911","Yes",2,3414,58.58,40,1492
"3912","Yes",11,15157,72.57,40,1485
"3913","Yes",1,3338,29.96,41,1523
"3915","Yes",2,9960,20.08,41,973
"3916","No",0,955,0,56,1708
"3918","Yes",2,3705,53.98,41,1449
"3919","Yes",2,3183,62.83,38,1167
"3920","No",2,1040,192.31,22,1952
"3926","Yes",0,3242,0,48,1533
"3927","Yes",4,1667,239.95,52,1468
"3928","No",1,416,240.38,52,1724
"3929","No",7,905,773.48,58,1632
"3930","Yes",9,17888,50.31,44,2030
"3931","Yes",14,23989,58.36,47,1203
"3933","No",2,1098,182.15,45,2028
"3934","Yes",13,18548,70.09,43,1707
"3936","Yes",4,11024,36.28,50,1157
"3937","Yes",0,1524,0,50,1774
"3938","Yes",0,2823,0,54,1241
"3939","Yes",5,14524,34.43,49,973
"3940","Yes",3,4930,60.85,59,786
"3941","Yes",4,12172,32.86,46,1067
"3942","Yes",4,2313,172.94,57,1060
"3943","Yes",7,1592,439.7,65,1136
"3944","No",5,510,980.39,67,1863
"3975","Yes",30,15248,196.75,32,1947
"3976","Yes",59,25530,231.1,33,1307
"3977","Yes",133,93326,142.51,32,1560
