"Postcode","Include","Confirmed","Population","Cases.per.100K","Semi.detached.Persons","Flat.Persons","House.Persons","Dwelling.persons","Semi.detached.Percent","Flat.Percent","House.Percent"
"3071","Yes",33,18568,177.73,3277,3126,10592,17166,19.09,18.21,61.703
"3072","Yes",85,32851,258.74,6801,3200,19922,30274,22.465,10.57,65.806
"3073","Yes",190,50474,376.43,11423,1559,33728,46995,24.307,3.317,71.769
"3074","Yes",115,20523,560.35,1429,976,17308,19790,7.221,4.932,87.458
"3075","Yes",82,22594,362.93,923,1126,19499,21604,4.272,5.212,90.256
"3076","Yes",219,32395,676.03,5692,283,24957,30960,18.385,0.914,80.61
"3078","Yes",17,11638,146.07,2092,1932,6507,10603,19.73,18.221,61.369
"3079","Yes",41,15988,256.44,2308,1991,10616,15008,15.378,13.266,70.736
"3081","Yes",153,13424,1139.75,3528,717,7918,12228,28.852,5.864,64.753
"3082","Yes",89,29710,299.56,3995,230,24239,28489,14.023,0.807,85.082
"3083","Yes",88,31526,279.13,3956,2154,23526,29692,13.323,7.254,79.233
"3084","Yes",61,25517,239.06,2655,1960,19402,24094,11.019,8.135,80.526
"3085","Yes",27,13886,194.44,1738,152,10916,12829,13.547,1.185,85.088
"3087","Yes",9,9031,99.66,512,28,8105,8654,5.916,0.324,93.656
"3088","Yes",51,26892,189.65,2204,355,22951,25557,8.624,1.389,89.803
"3089","Yes",17,11733,144.89,437,40,10738,11223,3.894,0.356,95.679
"3090","No",43,2364,1818.95,22,0,2225,2255,0.976,0,98.67
"3091","Yes",0,1588,0,0,0,1455,1481,0,0,98.244
"3093","Yes",9,3891,231.3,521,117,2882,3531,14.755,3.314,81.62
"3094","Yes",7,8960,78.12,841,43,7556,8471,9.928,0.508,89.198
"3095","Yes",29,27771,104.43,785,719,24872,26437,2.969,2.72,94.08
"3096","Yes",3,1961,152.98,0,0,1745,1747,0,0,99.886
"3097","No",2,1443,138.6,9,0,1261,1286,0.7,0,98.056
"3099","Yes",6,4878,123,39,17,4490,4555,0.856,0.373,98.573
"3101","Yes",37,24605,150.38,5024,3806,13346,22277,22.552,17.085,59.909
"3102","Yes",8,6635,120.57,1185,494,4603,6295,18.824,7.847,73.122
"3103","Yes",9,15343,58.66,3162,1203,10201,14649,21.585,8.212,69.636
"3104","Yes",23,20406,112.71,2166,226,17232,19696,10.997,1.147,87.49
"3105","Yes",9,10873,82.77,1320,557,8549,10453,12.628,5.329,81.785
"3106","Yes",24,16618,144.42,2374,237,13012,15650,15.169,1.514,83.144
"3107","Yes",8,13552,59.03,2006,113,10677,12842,15.621,0.88,83.141
"3108","Yes",26,20826,124.84,3629,2371,14187,20236,17.933,11.717,70.108
"3109","Yes",41,28360,144.57,5759,1831,19738,27481,20.956,6.663,71.824
"3111","Yes",15,12347,121.49,801,174,10434,11423,7.012,1.523,91.342
"3113","Yes",7,8457,82.77,13,0,7872,7931,0.164,0,99.256
"3114","Yes",6,3822,156.99,3,0,3644,3654,0.082,0,99.726
"3115","Yes",5,3796,131.72,0,0,3592,3601,0,0,99.75
"3116","Yes",17,9872,172.2,108,0,9208,9354,1.155,0,98.439
"3121","Yes",93,30499,304.93,11604,11528,4183,27588,42.062,41.786,15.162
"3122","Yes",47,23511,199.91,3838,10244,6896,21188,18.114,48.348,32.547
"3123","Yes",21,14321,146.64,2668,4699,5994,13440,19.851,34.963,44.598
"3124","Yes",21,22094,95.05,3793,2389,14126,20460,18.539,11.676,69.042
"3125","Yes",31,15019,206.41,2974,1172,9545,13758,21.617,8.519,69.378
"3126","Yes",3,8056,37.24,1433,503,5528,7520,19.056,6.689,73.511
"3127","Yes",8,18445,43.37,3687,1119,12527,17417,21.169,6.425,71.924
"3128","Yes",34,19828,171.47,4864,4030,9788,18760,25.928,21.482,52.175
"3129","Yes",8,17376,46.04,4483,891,11385,16817,26.658,5.298,67.699
"3130","Yes",17,32174,52.84,4780,945,24678,30470,15.688,3.101,80.991
"3131","Yes",18,22504,79.99,4391,387,16505,21328,20.588,1.815,77.387
