"Postcode","Exclude","Confirmed cases (ever)","Population","Cases.per.100K","Semi.detached","Flat","House","Semi.detached_Percent","Flat_Percent","House_Percent","Total.dwelling"
"3337","Yes",161,36454,441.65,4275,47,29833,12.49,0.137,87.16,34228
"3427","Yes",11,2763,398.12,23,8,2546,0.889,0.309,98.377,2588
"3428","No",0,675,0,0,8,564,0,1.379,97.241,580
"3429","Yes",84,36297,231.42,835,1533,31729,2.445,4.488,92.892,34157
"3752","Yes",77,24060,320.03,3056,75,19871,13.27,0.326,86.283,23030
"3765","Yes",14,6761,207.07,203,69,5890,3.294,1.12,95.57,6163
"3766","No",1,1239,80.71,3,0,1129,0.263,0,98.862,1142
"3767","No",2,1251,159.87,15,0,1122,1.315,0,98.335,1141
"3770","Yes",1,3218,31.08,8,7,2963,0.266,0.233,98.537,3007
"3775","Yes",3,3861,77.7,65,0,3493,1.819,0,97.761,3573
"3777","Yes",10,10751,93.01,517,20,9054,5.325,0.206,93.254,9709
"3781","Yes",1,4477,22.34,0,0,4091,0,0,99.441,4114
"3782","Yes",2,7827,25.55,0,8,7163,0,0.111,99.514,7198
"3786","Yes",2,1518,131.75,4,0,1380,0.289,0,99.639,1385
"3787","No",0,1062,0,3,0,940,0.313,0,98.224,957
"3788","Yes",0,1738,0,19,0,1540,1.186,0,96.13,1602
"3789","No",0,265,0,0,0,243,0,0,97.984,248
"3791","No",1,1437,69.59,12,0,1351,0.875,0,98.541,1371
"3792","No",0,1065,0,8,0,960,0.828,0,99.379,966
"3793","Yes",1,3577,27.96,63,7,3285,1.867,0.207,97.362,3374
"3795","No",0,1246,0,7,0,1107,0.618,0,97.792,1132
"3796","Yes",3,9702,30.92,166,0,8934,1.817,0,97.778,9137
"3802","Yes",57,24298,234.59,2524,9,20733,10.836,0.039,89.01,23293
"3803","Yes",57,10855,525.1,1565,11,8708,15.19,0.107,84.519,10303
"3804","Yes",8,8094,98.84,59,0,7466,0.782,0,98.953,7545
"3805","Yes",119,56933,209.02,2692,394,51548,4.907,0.718,93.961,54861
"3806","Yes",50,48520,103.05,3209,297,42906,6.903,0.639,92.303,46484
"3807","Yes",10,7097,140.9,500,4,6233,7.358,0.059,91.729,6795
"3808","Yes",2,3033,65.94,0,5,2714,0,0.183,99.16,2737
"3809","Yes",32,7210,443.83,672,0,6265,9.662,0,90.079,6955
"3810","Yes",49,47894,102.31,3416,113,41509,7.561,0.25,91.877,45179
"3910","Yes",24,22588,106.25,2016,151,19056,9.431,0.706,89.143,21377
"3911","Yes",2,3414,58.58,122,0,3011,3.883,0,95.831,3142
"3912","Yes",11,15157,72.57,1208,57,12819,8.532,0.403,90.542,14158
"3913","Yes",1,3338,29.96,217,0,2939,6.845,0,92.713,3170
"3915","Yes",2,9960,20.08,1455,26,7630,15.881,0.284,83.279,9162
"3916","No",0,955,0,0,12,741,0,1.583,97.757,758
"3918","Yes",2,3705,53.98,141,3,3290,4.088,0.087,95.39,3449
"3919","Yes",2,3183,62.83,370,20,2573,12.462,0.674,86.662,2969
"3920","No",2,1040,192.31,0,0,232,0,0,100,232
"3926","Yes",0,3242,0,19,3,2867,0.656,0.104,98.93,2898
"3927","Yes",4,1667,239.95,0,0,1450,0,0,99.931,1451
"3928","No",1,416,240.38,0,0,355,0,0,99.44,357
"3929","No",7,905,773.48,0,13,737,0,1.717,97.358,757
"3930","Yes",9,17888,50.31,417,389,15740,2.516,2.347,94.957,16576
"3931","Yes",14,23989,58.36,1304,3231,16980,6.006,14.882,78.209,21711
"3933","No",2,1098,182.15,3,0,965,0.309,0,99.28,972
"3934","Yes",13,18548,70.09,1616,34,15383,9.461,0.199,90.059,17081
"3936","Yes",4,11024,36.28,1406,96,8224,14.145,0.966,82.736,9940
"3937","Yes",0,1524,0,0,0,1294,0,0,99.233,1304
"3938","Yes",0,2823,0,118,3,2395,4.677,0.119,94.927,2523
"3939","Yes",5,14524,34.43,611,317,12243,4.617,2.395,92.512,13234
"3940","Yes",3,4930,60.85,847,49,3142,20.39,1.18,75.638,4154
"3941","Yes",4,12172,32.86,320,23,10466,2.937,0.211,96.071,10894
"3942","Yes",4,2313,172.94,9,5,1889,0.473,0.263,99.212,1904
"3943","Yes",7,1592,439.7,18,12,1221,1.426,0.951,96.751,1262
"3944","No",5,510,980.39,16,9,314,4.734,2.663,92.899,338
"3975","Yes",30,15248,196.75,617,63,13834,4.245,0.433,95.184,14534
"3976","Yes",59,25530,231.1,1078,68,22999,4.452,0.281,94.974,24216
"3977","Yes",133,93326,142.51,8135,707,79856,9.159,0.796,89.911,88817
