"Postcode","Include","Confirmed cases (ever)","Population","Cases.per.100K","Under.500","Under.500.Percent","Age.15.Over.not.Nil.or.Negative"
"3195","Yes",29,35869,80.85,7175,29.66,24187
"3196","Yes",51,25327,201.37,5378,31.18,17250
"3197","Yes",8,11548,69.28,2394,29.86,8018
"3198","Yes",11,16463,66.82,3925,34.72,11304
"3199","Yes",48,54298,88.4,13505,36.38,37117
"3200","Yes",16,5762,277.68,1862,50.38,3696
"3201","Yes",19,20711,91.74,4471,33.16,13483
"3202","Yes",0,2907,0,499,28.5,1751
"3204","Yes",36,30635,117.51,5923,29.57,20032
"3205","Yes",14,10920,128.21,1921,24.59,7813
"3206","Yes",17,10359,164.11,1533,21.63,7087
"3207","Yes",35,16175,216.38,2487,21.33,11660
"3335","Yes",27,5856,461.07,920,26.19,3513
"3337","Yes",161,36454,441.65,8406,37.43,22460
"3427","Yes",11,2763,398.12,563,30.07,1872
"3428","No",0,675,0,152,35.19,432
"3429","Yes",84,36297,231.42,7923,32.52,24366
"3752","Yes",77,24060,320.03,4675,31.14,15013
"3765","Yes",14,6761,207.07,1423,31.93,4457
"3766","No",1,1239,80.71,251,29.36,855
"3767","No",2,1251,159.87,301,34.72,867
"3770","Yes",1,3218,31.08,700,32.24,2171
"3775","Yes",3,3861,77.7,846,32.58,2597
"3777","Yes",10,10751,93.01,2857,39.02,7322
"3781","Yes",1,4477,22.34,887,31.47,2819
"3782","Yes",2,7827,25.55,1695,32.41,5230
"3786","Yes",2,1518,131.75,315,30.58,1030
"3787","No",0,1062,0,221,30.91,715
"3788","Yes",0,1738,0,371,30.92,1200
"3789","No",0,265,0,75,37.69,199
"3791","No",1,1437,69.59,289,29.22,989
"3792","No",0,1065,0,208,29.89,696
"3793","Yes",1,3577,27.96,921,38,2424
"3795","No",0,1246,0,292,34.8,839
"3796","Yes",3,9702,30.92,2138,33.03,6473
"3802","Yes",57,24298,234.59,6018,38.07,15807
"3803","Yes",57,10855,525.1,3021,43.05,7017
"3804","Yes",8,8094,98.84,1793,33.51,5351
