"Postcode","Exclude","Confirmed cases (ever)","Population","Cases.per.100K","Transport_postal_warehouse","Transport_percentage","Employed.15.over"
"3180","Yes",3,7462,40.2,104,2.924,3557
"3181","Yes",61,20260,301.09,315,2.571,12250
"3182","Yes",45,23391,192.38,425,3.051,13930
"3183","Yes",34,18497,183.81,262,2.472,10597
"3184","Yes",10,15543,64.34,287,3.034,9461
"3185","Yes",24,12929,185.63,167,2.452,6811
"3186","Yes",48,23253,206.42,275,2.565,10721
"3187","Yes",12,15998,75.01,203,2.799,7253
"3188","Yes",8,18083,44.24,257,2.987,8603
"3189","Yes",5,5895,84.82,117,4.153,2817
"3190","Yes",56,10454,535.68,168,3.233,5196
"3191","Yes",7,10241,68.35,130,2.612,4977
"3192","Yes",20,22291,89.72,365,3.348,10902
"3193","Yes",16,19508,82.02,225,2.432,9252
"3194","Yes",6,12965,46.28,210,3.179,6605
"3195","Yes",29,35869,80.85,635,3.458,18364
"3196","Yes",51,25327,201.37,414,3.351,12356
"3197","Yes",8,11548,69.28,196,3.372,5812
"3198","Yes",11,16463,66.82,312,4.089,7631
"3199","Yes",48,54298,88.4,864,3.539,24412
"3200","Yes",16,5762,277.68,126,6.897,1827
"3201","Yes",19,20711,91.74,582,5.835,9975
"3202","Yes",0,2907,0,63,4.449,1416
"3204","Yes",36,30635,117.51,459,3.034,15128
"3205","Yes",14,10920,128.21,166,2.877,5770
"3206","Yes",17,10359,164.11,153,2.98,5134
"3207","Yes",35,16175,216.38,420,4.695,8946
"3335","Yes",27,5856,461.07,289,10.123,2855
"3337","Yes",161,36454,441.65,1662,10.9,15248
"3427","Yes",11,2763,398.12,153,10.775,1420
"3428","No",0,675,0,32,10.289,311
"3429","Yes",84,36297,231.42,1897,10.563,17959
"3752","Yes",77,24060,320.03,775,6.557,11819
"3765","Yes",14,6761,207.07,102,3.036,3360
"3766","No",1,1239,80.71,27,4.135,653
"3767","No",2,1251,159.87,14,2.28,614
"3770","Yes",1,3218,31.08,62,3.651,1698
"3775","Yes",3,3861,77.7,58,2.952,1965
"3777","Yes",10,10751,93.01,164,3.388,4841
"3781","Yes",1,4477,22.34,89,3.945,2256
"3782","Yes",2,7827,25.55,127,3.239,3921
"3786","Yes",2,1518,131.75,25,3.197,782
"3787","No",0,1062,0,12,2.147,559
"3788","Yes",0,1738,0,24,2.743,875
"3789","No",0,265,0,3,2.326,129
"3791","No",1,1437,69.59,21,2.789,753
"3792","No",0,1065,0,15,2.896,518
"3793","Yes",1,3577,27.96,49,2.821,1737
"3795","No",0,1246,0,23,3.622,635
"3796","Yes",3,9702,30.92,166,3.305,5023
"3802","Yes",57,24298,234.59,592,5.386,10991
"3803","Yes",57,10855,525.1,316,7.028,4496
"3804","Yes",8,8094,98.84,181,4.388,4125
"3805","Yes",119,56933,209.02,1507,5.575,27030
"3806","Yes",50,48520,103.05,899,3.82,23535
"3807","Yes",10,7097,140.9,150,3.945,3802
"3808","Yes",2,3033,65.94,50,3.195,1565
"3809","Yes",32,7210,443.83,167,4.218,3959
"3810","Yes",49,47894,102.31,1245,5.783,21530
"3910","Yes",24,22588,106.25,421,3.501,12025
"3911","Yes",2,3414,58.58,67,3.815,1756
"3912","Yes",11,15157,72.57,281,3.627,7748
"3913","Yes",1,3338,29.96,65,3.695,1759
"3915","Yes",2,9960,20.08,152,3.991,3809
"3916","No",0,955,0,3,0.773,388
"3918","Yes",2,3705,53.98,46,2.551,1803
"3919","Yes",2,3183,62.83,39,2.718,1435
"3920","No",2,1040,192.31,0,0,907
"3926","Yes",0,3242,0,42,2.807,1496
"3927","Yes",4,1667,239.95,22,3.06,719
"3928","No",1,416,240.38,4,2.02,198
"3929","No",7,905,773.48,14,3.646,384
"3930","Yes",9,17888,50.31,157,1.894,8290
"3931","Yes",14,23989,58.36,282,2.773,10171
"3933","No",2,1098,182.15,13,2.2,591
"3934","Yes",13,18548,70.09,197,2.295,8583
"3936","Yes",4,11024,36.28,132,2.829,4666
"3937","Yes",0,1524,0,15,2.101,714
"3938","Yes",0,2823,0,27,2.306,1171
"3939","Yes",5,14524,34.43,150,2.674,5609
"3940","Yes",3,4930,60.85,47,3.396,1384
"3941","Yes",4,12172,32.86,144,2.932,4912
"3942","Yes",4,2313,172.94,23,2.693,854
"3943","Yes",7,1592,439.7,12,2.243,535
"3944","No",5,510,980.39,7,3.955,177
"3975","Yes",30,15248,196.75,459,6.406,7165
"3976","Yes",59,25530,231.1,748,7.053,10605
"3977","Yes",133,93326,142.51,2595,5.936,43718
