"Postcode","Confirmed","Active"
"3826",NA,0
"3828",NA,0
"3830",NA,0
"3831",NA,0
"3832",NA,0
"3833",NA,0
"3835",NA,0
"3837",NA,0
"3838",NA,0
"3839",NA,0
"3841",NA,0
"3842",NA,0
"3845",NA,0
"3846",NA,0
"3847",3,0
"3850",5,0
"3851",NA,0
"3852",NA,0
"3853",NA,0
"3854",NA,0
"3855",NA,0
"3856",NA,0
"3857",NA,0
"3858",NA,0
"3859",NA,0
"3860",2,0
"3861",NA,0
"3862",3,0
"3863",NA,0
"3864",NA,0
"3865",1,0
"3866",NA,0
"3869",NA,0
"3870",NA,0
"3871",NA,0
"3872",NA,0
"3873",NA,0
"3874",NA,0
"3876",NA,0
"3878",NA,0
"3879",NA,0
"3880",NA,0
"3882",NA,0
"3884",NA,0
"3885",NA,0
"3886",NA,0
"3887",NA,0
"3888",NA,0
"3889",NA,0
"3890",NA,0
"3891",NA,0
"3892",NA,0
"3893",NA,0
"3895",NA,0
"3896",NA,0
"3898",NA,0
"3900",NA,0
"3902",NA,0
"3903",NA,0
"3904",NA,0
"3905",NA,0
"3908",NA,0
"3909",NA,0
"3911",2,0
"3913",1,0
"3916",NA,0
"3918",2,0
"3919",2,0
"3920",2,0
"3921",NA,0
"3923",NA,0
"3926",NA,0
"3927",4,0
"3929",7,0
"3932",NA,0
"3933",2,0
"3935",NA,0
"3937",NA,0
"3938",NA,0
"3942",4,0
"3943",7,0
"3944",5,0
"3945",NA,0
"3946",NA,0
"3951",NA,0
"3954",NA,0
"3956",NA,0
"3957",NA,0
"3958",NA,0
"3959",NA,0
"3960",1,0
"3961",NA,0
"3964",NA,0
"3965",NA,0
"3966",NA,0
"3967",NA,0
"3970",NA,0
"3971",NA,0
"3973",NA,0
"3974",NA,0
"3979",NA,0
"3980",NA,0
"3981",NA,0
"3985",NA,0
"3986",NA,0
"3987",NA,0
"3988",1,0
"3989",NA,0
"3991",NA,0
"3992",NA,0
"3995",1,0
"3996",4,0
